eventID,PrecipitatingEvent,UnsafeManeuverType,FrameCount,FrameRate,EventStartFrame,EventEndFrame,VideoStart,VideoEnd,TimeseriesBegin,TimeseriesEnd,Dataset
138364456,"Other vehicle lane change - right, sideswipe threat",2,441,15,323,351,11,451,1342700,1371900,train
142043499,Subject over right edge of road,5,449,15,299,415,0,448,325100,354800,train
142183169,Other vehicle ahead - slowed and stopped 2 seconds or less,4,450,15,301,386,1,450,470000,499800,train
148097211,Other vehicle ahead - decelerating,4,440,15,324,397,12,451,32800,61900,train
148120194,Other vehicle entering intersection - turning onto opposite direction,3,447,15,306,365,4,450,395000,424700,train
149046731,Other vehicle entering intersection - turning onto opposite direction,3,448,15,307,387,4,451,214300,243900,train
150714421,Other vehicle ahead - decelerating,4,448,15,306,347,3,450,576200,605900,validation
150714475,Other vehicle entering intersection - turning onto opposite direction,3,445,15,314,360,7,451,99500,129000,train
150714660,Other vehicle lane change - right in front of subject,2,438,15,327,371,14,451,102900,131900,train
150715428,"Other vehicle lane change - left, sideswipe threat",2,445,15,312,347,7,451,416500,445900,validation
150715532,Other vehicle ahead - decelerating,4,449,15,303,360,2,450,583200,612900,train
150717000,Other vehicle ahead - decelerating,4,441,15,322,381,11,451,282700,311900,train
150780315,Subject over left lane line,0,441,15,322,429,11,451,161700,190900,train
150880975,Other vehicle entering intersection - turning same direction,3,450,15,299,354,0,449,39000,68800,test
151085066,Other vehicle ahead - decelerating,4,441,15,319,376,10,450,5398700,5427900,train
151091180,Other vehicle lane change - right in front of subject,2,449,15,306,382,3,451,216500,246200,validation
151545451,This vehicle lost control - excessive speed,6,450,15,304,411,2,451,1301100,1330900,train
151550404,Other vehicle lane change - right in front of subject,2,448,15,302,358,2,449,426100,455800,train
151551631,Subject over left edge of road,5,442,15,321,368,10,451,226700,256000,train
151551789,Subject over right edge of road,5,441,15,291,322,0,440,963000,992300,train
151565529,Other vehicle lane change - left in front of subject,2,447,15,306,348,4,450,256400,286000,train
151568775,Other vehicle lane change - left in front of subject,2,440,15,324,425,12,451,900800,929900,test
151568779,Other vehicle ahead - decelerating,4,445,15,311,382,6,450,449400,478900,train
